role,name,team
student,cnlinh,CS2103-T14-1
student,colintkn,CS2103-T14-1
student,stein414,CS2103-T14-1
student,DrWala,CS2103-T14-1
student,benedictkhoomw,CS2103-T14-1
student,Prabhakaran-Gokul,CS2103-T14-2
student,DineshMagesvaran,CS2103-T14-2
student,marcusleeeugene,CS2103-T14-2
student,Sidney011100,CS2103-T14-2
student,Donavanty,CS2103-T14-2
student,yutingzou,CS2103-T14-3
student,kingsleykuan,CS2103-T14-3
student,jared98lyj,CS2103-T14-3
student,glatiuden,CS2103-T14-3
student,Winniehyx,CS2103-T14-3
student,OhEyeSee,CS2103-T14-4
student,geraldfan,CS2103-T14-4
student,austenjs,CS2103-T14-4
student,mrweikiat,CS2103-T14-4
student,danielonges,CS2103-T14-4
student,JQchong,CS2103-T16-1
student,IceBear789,CS2103-T16-1
student,ampan98,CS2103-T16-1
student,rjeez,CS2103-T16-1
student,hengyiqun,CS2103-T16-2
student,totoyoyo,CS2103-T16-2
student,Maurice2n97,CS2103-T16-2
student,skinnychenpi,CS2103-T16-2
student,awzhenyi,CS2103-T16-3
student,VRSoorya,CS2103-T16-3
student,jaredtengsw,CS2103-T16-3
student,whatthelump,CS2103-T16-3
student,wangtao0717,CS2103-T16-3
student,litone01,CS2103-W16-1
student,ljhgab,CS2103-W16-1
student,SoulUseless,CS2103-W16-1
student,icelenaugust,CS2103-W16-1
student,YuFeng0930,CS2103-W16-1
student,daniellau88,CS2103-W16-2
student,weixue123,CS2103-W16-2
student,aaronsms,CS2103-W16-2
student,AhQuanz,CS2103-W16-2
student,laurenlhy,CS2103-W16-2
student,pyuxiang,CS2103-W16-3
student,nickyfoo,CS2103-W16-3
student,garyljj,CS2103-W16-3
student,Ellevy,CS2103-W16-3
student,zhengruoxin,CS2103-W16-3
student,glennljs,CS2103-W16-3
student,jingxueguo,CS2103-W16-4
student,chanellNg,CS2103-W16-4
student,car155,CS2103-W16-4
student,yanlingkuek,CS2103-W16-4
student,Bennyphoe,CS2103-W16-4
student,douglaswja,CS2103-W17-1
student,seaniy,CS2103-W17-1
student,ssagit,CS2103-W17-1
student,BenedictBCJJ,CS2103-W17-1
student,Yihe-Harry,CS2103-W17-1
student,icytornado,CS2103-W17-2
student,onnwards,CS2103-W17-2
student,Jacob-Pang,CS2103-W17-2
student,pngsebastian,CS2103-W17-2
student,kwmiw,CS2103-W17-2
student,xuanqi966,CS2103-W17-3
student,hojiefeng,CS2103-W17-3
student,NiniJiaying,CS2103-W17-3
student,vvan-essa,CS2103-W17-3
student,ming-00,CS2103-W17-3
student,zoeykobe,CS2103-W17-4
student,Tomashiwa,CS2103-W17-4
student,Zaiah0505,CS2103-W17-4
student,Juzzanoob,CS2103-W17-4
student,JodyLorah,CS2103-W17-4
student,frisciliasultan,CS2103-W17-4
student,branzuelajohn,CS2103T-T10-1
student,ZhangAnli,CS2103T-T10-1
student,shaelynl,CS2103T-T10-1
student,wei-yutong,CS2103T-T10-1
student,CharlesLee01,CS2103T-T10-1
student,kouyk,CS2103T-T10-1
student,habi39,CS2103T-T10-2
student,kaixiangtay,CS2103T-T10-2
student,LimJunxue,CS2103T-T10-2
student,mesyeux,CS2103T-T10-2
student,maxxng,CS2103T-T10-2
student,enhao25,CS2103T-T11-1
student,JonahhGohh,CS2103T-T11-1
student,samleewy,CS2103T-T11-1
student,yungweezy,CS2103T-T11-1
student,nowknowing,CS2103T-T11-1
student,samuelfangjw,CS2103T-T11-2
student,vevek,CS2103T-T11-2
student,Eriksen2411,CS2103T-T11-2
student,lirc572,CS2103T-T11-2
student,internityz,CS2103T-T11-3
student,chenzaza,CS2103T-T11-3
student,sylviaokt,CS2103T-T11-3
student,andrea-twl,CS2103T-T11-3
student,mabel-kang,CS2103T-T11-3
student,RuiXiong2211,CS2103T-T11-4
student,xiinweii98,CS2103T-T11-4
student,simran-bhadani3,CS2103T-T11-4
student,pPris,CS2103T-T11-4
student,pavz02,CS2103T-T11-4
student,Jonathan-Cao,CS2103T-T12-1
student,adidoesnt,CS2103T-T12-1
student,arihantjain97,CS2103T-T12-1
student,VisnuRavi,CS2103T-T12-1
student,SoonKeatNeo,CS2103T-T12-2
student,WeiLiangLOL,CS2103T-T12-2
student,ssoonwee,CS2103T-T12-2
student,jasaaanlim,CS2103T-T12-2
student,sjq-sohjunqi,CS2103T-T12-2
student,yaowei-soc,CS2103T-T12-3
student,tanboonji,CS2103T-T12-3
student,DarkDestry-t,CS2103T-T12-3
student,justgnohUG,CS2103T-T12-3
student,oeiyiping,CS2103T-T12-3
student,tjtanjin,CS2103T-T12-4
student,NightRaven49,CS2103T-T12-4
student,JulietTeoh,CS2103T-T12-4
student,tlylt,CS2103T-T12-4
student,ong6,CS2103T-T12-4
student,Jellybeano,CS2103T-T13-1
student,Yanneko,CS2103T-T13-1
student,xyzhang00,CS2103T-T13-1
student,xinweit,CS2103T-T13-1
student,Cheng20010201,CS2103T-T13-1
student,AiwassPrime,CS2103T-T13-2
student,umergta,CS2103T-T13-2
student,figo2127,CS2103T-T13-2
student,QY-H00,CS2103T-T13-2
student,yhtMinceraft1010X,CS2103T-T13-2
student,yeoutzer,CS2103T-T13-3
student,Marc-97,CS2103T-T13-3
student,vuminhhieunus2019,CS2103T-T13-3
student,linhns,CS2103T-T13-3
student,zenlyj,CS2103T-T13-3
student,Cp-John,CS2103T-T13-4
student,w-yuchen,CS2103T-T13-4
student,candyhy,CS2103T-T13-4
student,w2vgd,CS2103T-T13-4
student,dvdweien,CS2103T-T13-4
student,lyueyang,CS2103T-W10-1
student,JoelHo,CS2103T-W10-1
student,chewterence,CS2103T-W10-1
student,ZechariahTan,CS2103T-W10-1
student,markmcwong,CS2103T-W10-1
student,JayChenYJ,CS2103T-W10-2
student,kumsssss,CS2103T-W10-2
student,Md-Fazil,CS2103T-W10-2
student,chewwh09,CS2103T-W10-2
student,github-amanda,CS2103T-W10-2
student,CSjiade,CS2103T-W10-3
student,cheunggalen,CS2103T-W10-3
student,pasha-292,CS2103T-W10-3
student,Jacob-109,CS2103T-W10-3
student,fairyinabottle4,CS2103T-W10-4
student,SiTingST,CS2103T-W10-4
student,picasdan9,CS2103T-W10-4
student,yienyoong,CS2103T-W10-4
student,nicholasnge,CS2103T-W12-1
student,prerthan99,CS2103T-W12-1
student,vivegank,CS2103T-W12-1
student,BigDoot,CS2103T-W12-1
student,Shizheng001,CS2103T-W12-2
student,OhJunMing,CS2103T-W12-2
student,nighoggDatatype,CS2103T-W12-2
student,rajobasu,CS2103T-W12-2
student,KnitidCeladon23,CS2103T-W12-3
student,HuaiZe,CS2103T-W12-3
student,Shuyang0,CS2103T-W12-3
student,georgepwhuang,CS2103T-W12-3
student,godjuansan,CS2103T-W13-1
student,TeoHoeKeat,CS2103T-W13-1
student,jessen11,CS2103T-W13-1
student,riyadh-h,CS2103T-W13-1
student,XindiTian,CS2103T-W13-1
student,GJ0407790,CS2103T-W13-2
student,gycc7253,CS2103T-W13-2
student,Andrewzhang217,CS2103T-W13-2
student,Nanxi-Huang,CS2103T-W13-2
student,arsatis,CS2103T-W13-2
student,Stratostorm,CS2103T-W13-3
student,mechastriker3,CS2103T-W13-3
student,nicoleang09,CS2103T-W13-3
student,clarlzx,CS2103T-W13-3
student,edelinetenges,CS2103T-W13-3
student,lrj689,CS2103T-W13-4
student,nicholastanvis,CS2103T-W13-4
student,tsh22,CS2103T-W13-4
student,goatygoatygoat,CS2103T-W13-4
student,KevinLohJunYong,CS2103T-W13-4
student,chesterhow,CS2103T-W14-1
student,ivantjh,CS2103T-W14-1
student,Assyarul,CS2103T-W14-1
student,lue97,CS2103T-W14-1
student,deyixtan,CS2103T-W14-2
student,yuheem,CS2103T-W14-2
student,jxrrelo,CS2103T-W14-2
student,eksinyue,CS2103T-W14-2
student,natosy,CS2103T-W14-2
student,zatkiller,CS2103T-W14-3
student,tashawan23,CS2103T-W14-3
student,cheeerynne,CS2103T-W14-3
student,rachelljt,CS2103T-W14-3
student,khiaxeng,CS2103T-W14-4
student,CSmortal,CS2103T-W14-4
student,noelmathewisaac,CS2103T-W14-4
student,hengyongming,CS2103T-W14-4
student,banchiang,CS2103T-W15-1
student,jellymias,CS2103T-W15-1
student,markuz5116,CS2103T-W15-1
student,Hzxin,CS2103T-W15-1
student,maikongeh,CS2103T-W15-1
student,swayongshen,CS2103T-W15-2
student,NBH99,CS2103T-W15-2
student,jay9645,CS2103T-W15-2
student,wongkokian,CS2103T-W15-2
student,jlxw48,CS2103T-W15-2
student,kangtinglee,CS2103T-W15-3
student,IanCKW,CS2103T-W15-3
student,Sharptail,CS2103T-W15-3
student,jamesleeht,CS2103T-W15-3
student,guanyz,CS2103T-W15-3
student,nhzaci,CS2103T-W15-4
student,jrvslam,CS2103T-W15-4
student,toahi,CS2103T-W15-4
student,JerardSoh,CS2103T-W15-4
student,kieron560,CS2103T-W15-4
student,damithc,Tutors
